Sat. Num,Sat. Name,Item #,Launch Date,Epoch Date,Epoch Time,SMA,eccentricity,inclination,RAAN,Arg. Perigee,True Anomaly,Period,Perigee Altitude,Apogee Altitude,Country,Purpose,Status
00005,VANGUARD 1,2,1958-03-17,2018-11-19,18:26:28.987,8619.884,0.18479,34.2570,201.471,282.046,78.146,132.74,648.919,3834.580,US,Earth Sci,Unknown,
00011,VANGUARD 2,1,1959-02-17,2018-11-21,4:55:27.308,8124.252,0.14684,32.8797,51.212,250.001,110.281,121.46,553.146,2939.088,US,Earth Sci,Unknown,
00012,VANGUARD R/B,2,1959-02-17,2018-11-21,0:2:31.819,8318.718,0.16680,32.9085,200.689,295.915,64.064,125.85,553.013,3328.152,US,Unknown,Unknown,
00016,VANGUARD R/B,1,1958-03-17,2018-11-20,9:51:12.666,8816.549,0.20287,34.2736,15.164,333.009,26.585,137.31,649.828,4227.000,US,Unknown,Unknown,
00020,VANGUARD 3,1,1959-09-18,2018-11-21,13:3:52.262,8264.203,0.16671,33.3441,66.430,102.537,257.174,124.61,508.374,3263.762,US,Earth Sci,Unknown,
00022,EXPLORER 7,1,1959-10-13,2018-11-20,21:30:6.113,6961.427,0.01406,50.2850,276.999,224.321,135.774,96.34,485.387,681.198,US,Earth Sci,Unknown,
00029,TIROS 1,2,1960-04-01,2018-11-20,21:12:18.368,7025.591,0.00244,48.3783,140.020,294.076,66.015,97.68,630.301,664.611,US,Earth Sci,Inactive,
00045,TRANSIT 2A,1,1960-06-22,2018-11-21,12:21:5.655,7157.799,0.02541,66.6945,93.343,11.780,348.332,100.45,597.778,961.551,US,Navigation,Unknown,
00046,SOLRAD 1,2,1960-06-22,2018-11-21,13:33:57.614,7106.447,0.02133,66.6885,157.038,200.763,159.347,99.37,576.750,879.875,US,Solar Phys,Unknown,
00047,THOR ABLESTAR R,3,1960-06-22,2018-11-20,22:49:55.512,7130.008,0.02277,66.6661,251.075,1.693,358.418,99.86,589.510,914.235,US,Unknown,Unknown,
00050,DELTA 1 R/B,2,1960-08-12,2018-11-21,9:41:1.579,7970.213,0.01135,47.2300,102.918,55.145,304.934,118.02,1501.578,1682.577,US,Unknown,Unknown,
00051,ECHO 1 DEB,3,1960-08-12,2018-11-20,22:48:38.392,7978.216,0.01076,47.2147,324.783,255.243,104.836,118.20,1514.268,1685.894,US,Unknown,Unknown,
00053,ECHO 1 DEB,5,1960-08-12,2018-11-20,21:36:31.634,7982.829,0.00965,47.2753,230.772,183.504,176.575,118.30,1527.678,1681.710,US,Unknown,Unknown,
00058,COURIER 1B,1,1960-10-04,2018-11-21,12:6:58.377,7463.982,0.01650,28.3264,126.402,357.489,2.565,106.96,962.668,1209.026,US,Comm,Unknown,
00059,THOR ABLESTAR R,2,1960-10-04,2018-11-20,21:53:2.306,7439.509,0.01893,28.2489,289.467,143.921,216.134,106.43,920.539,1202.208,US,Unknown,Unknown,
00082,SCOUT X-1 R/B,2,1961-02-16,2018-11-20,22:16:38.010,7944.678,0.11757,38.8557,165.691,190.872,169.141,117.46,632.455,2500.632,US,Unknown,Unknown,
00085,SCOUT X-1 DEB,3,1961-02-16,2018-11-20,14:43:25.771,7206.084,0.03956,38.7768,70.080,275.398,84.681,101.46,542.866,1113.033,US,Unknown,Unknown,
00107,EXPLORER 11,1,1961-04-27,2018-11-20,21:36:8.447,7241.997,0.05479,28.7894,185.665,244.448,115.615,102.22,467.101,1260.623,US,Astronomy,Unknown,
00115,THOR ABLE DEB,4,1960-04-01,2018-11-19,18:51:23.791,6996.855,0.00349,48.1654,161.923,232.501,127.590,97.08,594.267,643.172,US,Unknown,Unknown,
00116,TRANSIT 4A,1,1961-06-29,2018-11-21,12:20:16.954,7300.666,0.00706,66.8082,171.247,47.857,312.251,103.47,870.954,974.108,US,Navigation,Unknown,
00117,SOLRAD 3 & INJU,2,1961-06-29,2018-11-21,5:15:50.947,7307.356,0.00714,66.8127,263.154,69.534,290.574,103.61,877.011,981.432,US,Solar Phys,Unknown,
00118,THOR ABLESTAR R,3,1961-06-29,2018-11-20,21:22:34.870,7266.323,0.00773,66.7631,109.952,55.583,304.525,102.74,832.000,944.375,US,Unknown,Unknown,
00119,THOR ABLESTAR D,4,1961-06-29,2018-11-20,13:9:28.808,7192.859,0.00977,66.7297,349.621,99.378,260.731,101.18,744.437,885.011,US,Unknown,Unknown,
00120,THOR ABLESTAR D,5,1961-06-29,2018-11-20,16:55:10.758,7186.015,0.01205,66.7075,64.571,201.994,158.115,101.04,721.253,894.507,US,Unknown,Unknown,
00121,THOR ABLESTAR D,6,1961-06-29,2018-11-21,13:22:31.126,7273.097,0.00889,66.7487,69.607,138.525,221.583,102.88,830.286,959.638,US,Unknown,Unknown,
00122,THOR ABLESTAR D,7,1961-06-29,2018-11-21,12:19:53.408,7043.097,0.00775,66.7522,41.926,229.537,130.575,98.04,610.394,719.530,US,Unknown,Unknown,
00123,THOR ABLESTAR D,8,1961-06-29,2018-11-20,21:44:2.664,7146.797,0.01114,66.6844,205.720,132.437,227.673,100.21,689.064,848.259,US,Unknown,Unknown,
00124,THOR ABLESTAR D,10,1961-06-29,2018-11-20,20:56:37.607,7168.930,0.00835,66.5440,347.400,249.946,110.163,100.68,730.940,850.649,US,Unknown,Unknown,
00125,THOR ABLESTAR D,11,1961-06-29,2018-11-21,11:6:12.015,7253.237,0.00810,66.8771,353.220,284.490,75.619,102.46,816.349,933.854,US,Unknown,Unknown,
00126,THOR ABLESTAR D,12,1961-06-29,2018-11-20,21:27:28.738,7149.918,0.00637,66.7128,225.487,135.849,224.261,100.28,726.211,817.354,US,Unknown,Unknown,
00127,THOR ABLESTAR D,13,1961-06-29,2018-11-20,16:55:9.611,7141.746,0.00763,66.8316,76.207,318.787,41.324,100.11,709.091,818.131,US,Unknown,Unknown,
00128,THOR ABLESTAR D,14,1961-06-29,2018-11-20,22:10:40.412,7267.966,0.00887,66.6756,248.138,51.419,308.690,102.77,825.340,954.322,US,Unknown,Unknown,
00130,THOR ABLESTAR D,17,1961-06-29,2018-11-21,7:12:4.457,7276.536,0.00796,66.7713,263.159,68.084,292.024,102.95,840.466,956.335,US,Unknown,Unknown,
00131,THOR ABLESTAR D,18,1961-06-29,2018-11-20,22:23:13.292,7269.747,0.00838,66.7333,149.679,200.799,159.309,102.81,830.697,952.528,US,Unknown,Unknown,
00132,THOR ABLESTAR D,19,1961-06-29,2018-11-21,4:29:22.482,7291.751,0.00820,66.6601,323.058,255.955,104.153,103.28,853.819,973.413,US,Unknown,Unknown,
00133,THOR ABLESTAR D,20,1961-06-29,2018-11-21,4:15:37.963,7210.294,0.00565,67.1170,9.433,185.781,174.328,101.55,791.427,872.891,US,Unknown,Unknown,
00134,THOR ABLESTAR D,21,1961-06-29,2018-11-21,12:37:52.137,7283.114,0.00795,66.8815,6.378,20.950,339.158,103.09,847.099,962.858,US,Unknown,Unknown,
00136,THOR ABLESTAR D,23,1961-06-29,2018-11-20,20:59:17.591,7158.941,0.00515,67.5286,137.477,20.024,340.087,100.47,743.966,817.647,US,Unknown,Unknown,
00138,THOR ABLESTAR D,25,1961-06-29,2018-11-20,16:34:9.176,7266.632,0.00289,67.1565,48.041,130.606,229.503,102.74,867.523,909.471,US,Unknown,Unknown,
00141,THOR ABLESTAR D,28,1961-06-29,2018-11-20,17:47:49.127,7318.250,0.00499,66.5895,336.369,47.649,312.458,103.84,903.620,976.610,US,Unknown,Unknown,
